"id","gender","race","hearing_year","hearing_type","risk_level"
1,"Male","White",2019,"Regular","Medium"
2,"Male","White",2020,"Regular","Medium"
3,"Male","White",2020,"Regular","High"
4,"Male","White",2021,"Regular","Medium"
5,"Male",NA,2016,"Other","Medium"
6,"Male","White",2019,"Regular","High"
7,"Male","White",2023,"Revocation","Medium"
8,"Male","White",2018,NA,"Medium"
9,"Male","White",2019,"Regular","High"
10,"Male","White",2019,"Regular","High"
11,"Male","White",2021,"Regular","Medium"
12,"Female","White",2020,"Regular","Medium"
13,"Male","White",2019,"Regular","High"
14,"Male","White",2023,"Revocation","High"
15,"Female","White",2018,NA,"Medium"
16,"Male","White",2020,"Regular","Medium"
17,"Male","White",2021,"Regular","High"
18,"Female","White",2016,"Other","Medium"
19,"Male","Unknown",2017,"Regular","High"
20,"Female","White",2023,"Revocation","Low"
21,"Male","White",2021,"Regular","High"
22,"Male","White",2022,"Revocation","High"
23,"Male","White",2018,NA,"Medium"
24,"Female","White",2017,"Other","Medium"
25,"Male","White",2020,"Regular","High"
26,"Female","Unknown",2018,NA,"Medium"
27,"Female","White",2019,"Regular","Low"
28,"Male","White",2020,"Regular","High"
29,"Male","White",2019,"Regular","Medium"
30,"Male","White",2019,"Regular","Medium"
31,NA,"White",2016,"Other","Low"
32,"Female","White",2017,"Regular","Low"
33,"Male","White",2016,"Other","High"
34,"Male","White",2023,"Revocation","Medium"
35,"Female","White",2022,"Revocation","Medium"
36,"Male","Black",2018,NA,"High"
37,"Female","White",2018,NA,"Low"
38,"Male","White",2022,"Revocation","High"
39,"Male","White",2018,NA,"High"
40,"Male","White",2021,"Regular","Medium"
41,"Male","White",2017,"Regular","High"
42,"Male","White",2019,"Regular","Medium"
43,"Male","White",2022,"Revocation","Medium"
44,"Male","White",2023,"Revocation","Medium"
45,"Male","White",2020,"Regular","High"
46,"Male","Black",2018,NA,"High"
47,"Female","White",2023,"Revocation","Medium"
48,"Male","White",2017,"Other","High"
49,"Male","White",2021,"Regular",NA
50,"Male","White",2018,NA,NA
51,"Male","Black",2023,"Revocation","High"
52,"Male","White",2023,"Revocation","Medium"
53,"Male","White",2023,"Revocation","Medium"
54,"Female","White",2021,"Regular","Low"
55,"Male","White",2023,"Revocation","Medium"
56,"Male","White",2016,"Other","Medium"
57,"Male","White",2019,"Regular","Medium"
58,"Male","White",2023,"Revocation","High"
59,"Male","Black",2017,"Regular","High"
60,"Male","Black",2021,"Regular","High"
61,"Female","White",2018,NA,"Medium"
62,"Male","White",2021,"Regular","High"
63,"Male","American Indian or Alaskan Native",2020,"Regular","Medium"
64,"Male","White",2016,"Disciplinary","High"
65,"Male","White",2023,"Revocation","Medium"
66,"Male","White",2023,"Revocation","High"
67,"Male","White",2018,NA,"Medium"
68,"Male","White",2022,"Revocation","Medium"
69,"Male","White",2022,"Regular","High"
70,"Female",NA,2022,"Revocation","Medium"
71,"Male","Asian or Pacific Islander",2020,"Regular","High"
72,"Male","White",2016,"Disciplinary","High"
73,"Male","White",2017,"Regular","Medium"
74,"Male","White",2023,"Revocation","Medium"
75,NA,"White",2020,"Regular",NA
76,"Male","White",2016,"Other","High"
77,"Male","White",2021,"Regular","High"
78,"Male","White",2017,"Regular","High"
79,"Male","American Indian or Alaskan Native",2019,"Regular","High"
80,"Male","White",2023,"Revocation","High"
81,"Female","White",2021,"Regular","Medium"
82,"Male","White",2021,"Regular","High"
83,"Male","White",2022,"Revocation","Medium"
84,"Male","White",2017,"Regular","High"
85,"Male","White",2023,"Revocation","Medium"
86,"Female","White",2018,NA,"Medium"
87,"Male","White",2019,"Regular","High"
88,"Male","White",2022,"Revocation","High"
89,"Male","Unknown",2016,"Disciplinary","Medium"
