person_id,year,facility_id,facility_name,facility_gender_policy,gender,race,offense_type,security_level,admission_date,parole_date
P202100001,2021.0,1,FAC001,Female-only,Female,White,,,,2024-09-21
P202100002,2021.0,1,FAC001,Female-only,Female,Black,Property,Medium,,2022-04-03
P202100003,2021.0,1,FAC001,Female-only,Female,Black,Drug,Minimum,2021-03-14,
P202100004,,1,FAC001,Female-only,Female,White,Violent,Medium,2021-05-10,
P202100005,2021.0,1,FAC001,Female-only,Female,Black,Drug,Minimum,2021-12-23,2023-08-18
P202100006,2021.0,1,FAC001,,,,Drug,Medium,2021-05-19,2024-04-24
P202100007,2021.0,1,FAC001,Female-only,Female,Hispanic,,Minimum,2021-07-15,2024-12-27
P202100008,2021.0,1,,Female-only,Female,Black,Property,,2021-03-11,
P202100009,2021.0,1,FAC001,Female-only,Female,,Drug,Minimum,2021-11-05,2023-01-29
P202100010,,1,FAC001,Female-only,Female,Black,Property,Medium,2021-02-09,2025-07-17
P202100011,2021.0,1,FAC001,Female-only,Female,White,Violent,Maximum,2021-11-06,2022-05-04
P202100012,2021.0,1,FAC001,,Female,Black,Drug,Medium,2021-06-08,
P202100013,2021.0,1,FAC001,Female-only,Female,Black,Property,Medium,2021-12-03,
P202100014,2021.0,1,FAC001,Female-only,Female,White,Violent,Maximum,2021-02-23,
P202100015,2021.0,1,FAC001,Female-only,Female,Black,Property,Medium,2021-09-03,2023-12-10
P202100016,2021.0,1,FAC001,Female-only,Female,Asian,Other,Minimum,2021-11-12,
P202100017,2021.0,1,FAC001,Female-only,Female,Black,Drug,Medium,2021-07-18,2023-10-22
P202100018,2021.0,1,FAC001,Female-only,Female,White,Violent,Maximum,2021-09-01,2024-01-26
P202100019,2021.0,1,FAC001,Female-only,Female,Black,Drug,Medium,2021-01-12,2024-02-22
P202100020,2021.0,1,FAC001,Female-only,Female,,Drug,,2021-12-27,
P202100021,2021.0,1,FAC001,Female-only,Female,White,Violent,Medium,2021-06-05,
P202100022,2021.0,1,,Female-only,Female,White,Violent,,2021-06-24,
P202100023,2021.0,1,,Female-only,Female,White,Violent,Maximum,2021-06-04,2024-08-16
P202100024,2021.0,1,FAC001,,Female,Hispanic,Drug,Minimum,2021-04-23,
P202100025,,1,FAC001,Female-only,Female,Hispanic,PublicOrder,Minimum,2021-02-24,2024-08-18
P202100026,,2,FAC002,Female-only,Female,White,Violent,Maximum,,2025-07-12
P202100027,2021.0,2,FAC002,Female-only,,Black,Property,Medium,2021-03-31,2022-02-12
P202100028,2021.0,2,FAC002,Female-only,,Hispanic,PublicOrder,Minimum,2021-09-12,2025-02-10
P202100029,2021.0,2,FAC002,Female-only,Female,Black,Property,Medium,2021-07-13,2022-10-25
P202100030,2021.0,2,FAC002,Female-only,Female,Black,Drug,Medium,2021-01-09,2024-03-15
P202100031,2021.0,2,FAC002,Female-only,Female,White,Property,Medium,2021-07-22,2023-07-25
P202100032,2021.0,2,FAC002,Female-only,Female,Black,Drug,Minimum,2021-09-22,
P202100033,2021.0,2,FAC002,Female-only,,White,Violent,Maximum,2021-07-09,
P202100034,2021.0,2,FAC002,Female-only,Female,Black,Property,,2021-11-20,2025-03-04
P202100035,2021.0,2,FAC002,,Female,Asian,Other,Minimum,2021-05-21,
P202100036,,2,FAC002,Female-only,Female,White,Violent,Medium,2021-08-06,
P202100037,2021.0,2,,Female-only,Female,Black,,Medium,2021-10-25,
P202100038,2021.0,2,FAC002,Female-only,Female,Hispanic,PublicOrder,Minimum,2021-12-02,2023-03-29
P202100039,2021.0,2,FAC002,,,Hispanic,PublicOrder,,2021-12-21,2025-01-18
P202100040,2021.0,2,FAC002,Female-only,Female,Black,Drug,Minimum,2021-02-18,
P202100041,,2,,Female-only,Female,Black,,Minimum,2021-05-08,2024-07-26
P202100042,2021.0,2,FAC002,Female-only,Female,Black,Drug,Medium,2021-12-26,2023-06-11
P202100043,2021.0,2,FAC002,Female-only,Female,,,Medium,2021-12-29,
