person_id,facility_id,facility_name,facility_gender_policy,gender,race,offense_type,security_level,admission_date,parole_date
P000001,1,FAC001,Female-only,Female,Black,PublicOrder,Minimum,2020-09-12,
P000002,1,FAC001,Female-only,Female,Black,Property,Minimum,2012-10-29,2022-10-21
P000003,1,FAC001,Female-only,Female,Hispanic,Violent,Medium,2019-11-12,
P000004,1,FAC001,Female-only,Female,Black,Drug,Medium,2020-06-03,
P000005,1,FAC001,Female-only,Female,Black,PublicOrder,Minimum,2017-07-09,
P000006,1,FAC001,Female-only,Female,Black,Violent,Medium,2014-06-06,2016-12-26
P000007,1,FAC001,Female-only,Female,Black,PublicOrder,Minimum,2013-12-07,
P000008,1,FAC001,Female-only,Female,Black,PublicOrder,Minimum,2011-01-23,
P000009,1,FAC001,Female-only,Female,White,Violent,Medium,2015-08-11,
P000010,1,FAC001,Female-only,Female,Black,Property,Medium,2025-06-10,
P000011,1,FAC001,Female-only,Female,White,Property,Maximum,2018-10-01,2021-11-09
P000012,1,FAC001,Female-only,Female,White,Drug,Medium,2010-08-29,2017-12-23
P000013,1,FAC001,Female-only,Female,Black,Other,Medium,2024-02-06,2024-11-05
P000014,1,FAC001,Female-only,Female,Black,Violent,Medium,2012-07-30,
P000015,1,FAC001,Female-only,Female,White,Violent,Minimum,2017-01-28,2024-06-21
P000016,1,FAC001,Female-only,Female,Black,Property,Maximum,2025-01-01,
P000017,1,FAC001,Female-only,Female,White,Property,Medium,2014-07-27,2017-06-25
P000018,1,FAC001,Female-only,Female,White,Property,Medium,2023-02-11,2024-01-30
P000019,1,FAC001,Female-only,Female,White,Violent,Medium,2016-03-15,2025-02-07
P000020,1,FAC001,Female-only,Female,Hispanic,Property,Minimum,2020-03-01,2023-07-14
P000021,1,FAC001,Female-only,Female,Black,Drug,Minimum,2024-06-10,
P000022,1,FAC001,Female-only,Female,Black,Violent,Maximum,2018-05-03,2025-06-09
P000023,1,FAC001,Female-only,Female,White,Violent,Maximum,2020-06-14,2025-07-29
P000024,1,FAC001,Female-only,Female,Black,PublicOrder,Medium,2010-12-10,
P000025,1,FAC001,Female-only,Female,White,Other,Minimum,2021-02-11,2025-07-25
P000026,1,FAC001,Female-only,Female,Black,Drug,Medium,2017-02-09,2018-04-22
P000027,1,FAC001,Female-only,Female,Black,Property,Minimum,2013-11-01,
P000028,1,FAC001,Female-only,Female,Black,Drug,Medium,2012-07-18,
P000029,1,FAC001,Female-only,Female,White,Drug,Medium,2016-04-01,2018-12-20
P000030,1,FAC001,Female-only,Female,White,Drug,Maximum,2011-10-08,
P000031,1,FAC001,Female-only,Female,White,Drug,Maximum,2023-06-13,
P000032,1,FAC001,Female-only,Female,Black,Drug,Medium,2018-08-07,2023-02-11
P000033,1,FAC001,Female-only,Female,White,Drug,Minimum,2020-03-11,
P000034,1,FAC001,Female-only,Female,White,Property,Maximum,2014-12-09,2015-10-31
P000035,1,FAC001,Female-only,Female,Black,Drug,Minimum,2016-06-13,2022-01-03
P000036,1,FAC001,Female-only,Female,Hispanic,PublicOrder,Medium,2024-07-17,
P000037,1,FAC001,Female-only,Female,Black,Drug,Medium,2025-05-23,2025-07-17
P000038,1,FAC001,Female-only,Female,White,Violent,Minimum,2016-10-04,2023-06-14
P000039,1,FAC001,Female-only,Female,Black,Violent,Minimum,2019-01-18,
P000040,1,FAC001,Female-only,Female,White,Property,Minimum,2013-08-03,2014-02-05
P000041,1,FAC001,Female-only,Female,Black,PublicOrder,Minimum,2021-11-15,2023-11-12
P000042,1,FAC001,Female-only,Female,White,Violent,Medium,2015-11-15,
P000043,1,FAC001,Female-only,Female,Hispanic,Violent,Medium,2012-01-22,
P000044,1,FAC001,Female-only,Female,Black,PublicOrder,Minimum,2018-03-18,2020-10-17
P000045,1,FAC001,Female-only,Female,Hispanic,Violent,Medium,2014-01-10,2014-12-21
P000046,1,FAC001,Female-only,Female,Black,Violent,Minimum,2016-06-07,2021-05-14
P000047,1,FAC001,Female-only,Female,Black,Property,Minimum,2018-11-16,2021-02-28
P000048,1,FAC001,Female-only,Female,White,PublicOrder,Medium,2017-06-07,
P000049,1,FAC001,Female-only,Female,White,Violent,Minimum,2018-12-05,
P000050,1,FAC001,Female-only,Female,Black,Violent,Maximum,2010-01-18,2018-04-12
P000051,1,FAC001,Female-only,Female,Hispanic,Violent,Maximum,2015-12-15,
P000052,1,FAC001,Female-only,Female,White,Violent,Minimum,2024-04-05,2024-06-05
P000053,1,FAC001,Female-only,Female,White,Violent,Maximum,2018-11-15,2024-07-24
P000054,1,FAC001,Female-only,Female,Black,Property,Minimum,2021-05-06,2025-01-13
P000055,1,FAC001,Female-only,Female,Hispanic,Violent,Medium,2015-10-04,2023-06-07
P000056,1,FAC001,Female-only,Female,Black,Drug,Maximum,2023-06-13,2023-10-26
P000057,1,FAC001,Female-only,Female,Black,Property,Maximum,2011-08-07,
P000058,1,FAC001,Female-only,Female,Black,Drug,Maximum,2024-03-01,
P000059,1,FAC001,Female-only,Female,Hispanic,Property,Maximum,2010-06-21,2014-06-18
P000060,1,FAC001,Female-only,Female,Black,Violent,Medium,2015-09-16,2016-12-04
P000061,1,FAC001,Female-only,Female,White,Violent,Minimum,2024-04-18,2024-08-08
P000062,1,FAC001,Female-only,Female,Hispanic,Drug,Minimum,2023-08-07,2024-01-23
P000063,1,FAC001,Female-only,Female,Black,Violent,Medium,2025-03-29,
P000064,1,FAC001,Female-only,Female,Black,PublicOrder,Maximum,2022-08-30,2023-12-15
P000065,1,FAC001,Female-only,Female,Hispanic,Violent,Minimum,2022-11-26,2023-02-08
P000066,1,FAC001,Female-only,Female,Black,Drug,Minimum,2014-01-25,2020-03-25
P000067,1,FAC001,Female-only,Female,White,Violent,Maximum,2019-02-05,2024-12-05
P000068,1,FAC001,Female-only,Female,Black,Drug,Medium,2019-08-01,
P000069,2,FAC002,Female-only,Female,Hispanic,Violent,Maximum,2013-07-19,
P000070,2,FAC002,Female-only,Female,White,PublicOrder,Medium,2014-11-14,
P000071,2,FAC002,Female-only,Female,White,PublicOrder,Minimum,2014-05-28,2018-01-10
P000072,2,FAC002,Female-only,Female,Black,PublicOrder,Minimum,2020-08-30,2022-06-21
P000073,2,FAC002,Female-only,Female,Hispanic,Property,Minimum,2017-07-20,
P000074,2,FAC002,Female-only,Female,Black,Drug,Medium,2016-11-13,2020-04-14
P000075,2,FAC002,Female-only,Female,White,Property,Minimum,2019-05-20,2020-04-11
P000076,2,FAC002,Female-only,Female,Black,Violent,Minimum,2011-10-26,
P000077,2,FAC002,Female-only,Female,White,Violent,Medium,2013-11-05,2019-08-27
P000078,2,FAC002,Female-only,Female,Black,PublicOrder,Medium,2021-10-31,2024-05-17
P000079,2,FAC002,Female-only,Female,White,Drug,Minimum,2011-11-05,2019-10-23
P000080,2,FAC002,Female-only,Female,White,Violent,Medium,2011-12-12,2015-04-22
P000081,2,FAC002,Female-only,Female,White,Drug,Minimum,2025-05-27,
P000082,2,FAC002,Female-only,Female,Black,Drug,Medium,2018-08-06,2018-09-07
P000083,2,FAC002,Female-only,Female,Hispanic,Other,Minimum,2013-08-15,2022-03-18
P000084,2,FAC002,Female-only,Female,White,Drug,Medium,2020-08-09,
P000085,2,FAC002,Female-only,Female,Black,Violent,Minimum,2024-06-06,2025-07-10
P000086,2,FAC002,Female-only,Female,Black,PublicOrder,Medium,2018-02-05,2019-11-30
P000087,2,FAC002,Female-only,Female,White,Violent,Maximum,2024-11-09,2025-06-18
P000088,2,FAC002,Female-only,Female,White,Drug,Minimum,2010-09-26,2012-11-24
P000089,2,FAC002,Female-only,Female,Black,Violent,Maximum,2017-04-20,
P000090,2,FAC002,Female-only,Female,White,Drug,Minimum,2014-08-09,2022-09-28
P000091,2,FAC002,Female-only,Female,Hispanic,Drug,Maximum,2013-10-23,
P000092,2,FAC002,Female-only,Female,White,Property,Medium,2010-03-30,
P000093,2,FAC002,Female-only,Female,Hispanic,Property,Medium,2010-03-04,2012-02-10
P000094,2,FAC002,Female-only,Female,Black,Property,Minimum,2012-04-13,2019-09-16
P000095,2,FAC002,Female-only,Female,Black,Property,Maximum,2019-02-13,
P000096,2,FAC002,Female-only,Female,Black,PublicOrder,Maximum,2025-04-19,2025-07-02
P000097,2,FAC002,Female-only,Female,White,Property,Maximum,2012-08-13,2012-09-24
P000098,2,FAC002,Female-only,Female,White,Violent,Medium,2022-12-22,2024-10-11
P000099,2,FAC002,Female-only,Female,Hispanic,PublicOrder,Medium,2023-04-13,
P000100,2,FAC002,Female-only,Female,White,PublicOrder,Medium,2014-10-06,2018-03-30
P000101,2,FAC002,Female-only,Female,Black,Violent,Medium,2022-01-02,
P000102,2,FAC002,Female-only,Female,Black,PublicOrder,Maximum,2018-10-01,
P000103,2,FAC002,Female-only,Female,Black,Property,Maximum,2017-09-07,2024-11-12
P000104,2,FAC002,Female-only,Female,Black,Violent,Minimum,2019-02-13,2022-08-14
P000105,2,FAC002,Female-only,Female,Hispanic,Drug,Medium,2018-06-09,
P000106,2,FAC002,Female-only,Female,Other,Violent,Medium,2020-09-02,2022-02-26
P000107,2,FAC002,Female-only,Female,White,Drug,Medium,2022-08-25,
P000108,2,FAC002,Female-only,Female,White,Violent,Medium,2013-10-07,2023-05-27
P000109,2,FAC002,Female-only,Female,Hispanic,Violent,Minimum,2018-08-24,2018-11-28
P000110,2,FAC002,Female-only,Female,White,Property,Minimum,2010-09-14,2016-07-08
P000111,2,FAC002,Female-only,Female,White,Drug,Maximum,2025-02-28,
P000112,2,FAC002,Female-only,Female,Black,Drug,Medium,2023-01-24,2024-08-09
P000113,2,FAC002,Female-only,Female,Black,Property,Maximum,2019-07-25,2023-10-27
P000114,2,FAC002,Female-only,Female,Black,Violent,Minimum,2025-01-23,2025-04-24
P000115,2,FAC002,Female-only,Female,Hispanic,Property,Minimum,2010-04-21,2018-09-01
P000116,2,FAC002,Female-only,Female,Black,Violent,Medium,2020-10-21,2025-06-04
P000117,2,FAC002,Female-only,Female,White,Violent,Medium,2019-03-23,2019-05-29
P000118,2,FAC002,Female-only,Female,Black,Property,Medium,2017-11-02,
P000119,2,FAC002,Female-only,Female,Black,PublicOrder,Medium,2024-09-01,
P000120,2,FAC002,Female-only,Female,Hispanic,Drug,Medium,2011-08-01,2012-11-27
P000121,2,FAC002,Female-only,Female,White,Violent,Minimum,2021-12-24,
P000122,2,FAC002,Female-only,Female,White,Violent,Minimum,2022-05-16,
P000123,2,FAC002,Female-only,Female,Black,Property,Minimum,2016-03-05,2022-03-16
P000124,2,FAC002,Female-only,Female,White,Drug,Minimum,2017-01-31,2025-04-28
P000125,2,FAC002,Female-only,Female,Black,Property,Medium,2020-05-31,2025-07-11
P000126,2,FAC002,Female-only,Female,White,Violent,Maximum,2022-02-10,
P000127,2,FAC002,Female-only,Female,Black,PublicOrder,Medium,2020-05-20,
P000128,2,FAC002,Female-only,Female,White,Property,Medium,2013-04-08,2020-07-06
P000129,2,FAC002,Female-only,Female,Black,Violent,Minimum,2018-06-08,2019-10-01
P000130,2,FAC002,Female-only,Female,Black,Violent,Medium,2017-09-07,
P000131,2,FAC002,Female-only,Female,White,Drug,Minimum,2012-09-04,2017-01-23
P000132,2,FAC002,Female-only,Female,Hispanic,Property,Medium,2010-05-24,2012-10-20
P000133,2,FAC002,Female-only,Female,White,PublicOrder,Maximum,2019-03-29,2019-08-13
P000134,2,FAC002,Female-only,Female,Hispanic,Property,Maximum,2025-04-07,2025-06-15
P000135,2,FAC002,Female-only,Female,White,Violent,Minimum,2013-11-11,2016-06-28
P000136,2,FAC002,Female-only,Female,Black,Violent,Minimum,2016-04-07,
P000137,2,FAC002,Female-only,Female,Black,Violent,Medium,2021-11-21,
P000138,2,FAC002,Female-only,Female,Hispanic,PublicOrder,Medium,2011-06-22,
P000139,2,FAC002,Female-only,Female,White,Property,Minimum,2011-11-27,2013-10-22
P000140,2,FAC002,Female-only,Female,Black,Drug,Medium,2014-05-13,
P000141,2,FAC002,Female-only,Female,White,Other,Medium,2011-01-24,2013-09-15
P000142,2,FAC002,Female-only,Female,Black,Other,Medium,2012-06-05,
P000143,2,FAC002,Female-only,Female,Hispanic,Drug,Medium,2017-10-23,
P000144,2,FAC002,Female-only,Female,Black,Other,Medium,2011-06-07,2013-10-21
P000145,2,FAC002,Female-only,Female,Black,Violent,Maximum,2017-05-11,2020-03-10
P000146,2,FAC002,Female-only,Female,Hispanic,Property,Medium,2025-02-13,2025-05-31
P000147,2,FAC002,Female-only,Female,White,Drug,Minimum,2010-04-24,2017-11-22
P000148,2,FAC002,Female-only,Female,Black,Drug,Maximum,2014-04-17,2022-05-25
P000149,2,FAC002,Female-only,Female,Black,Violent,Minimum,2012-06-10,2014-03-01
P000150,2,FAC002,Female-only,Female,White,Drug,Minimum,2018-06-18,2023-01-06
P000151,2,FAC002,Female-only,Female,Hispanic,Other,Medium,2011-03-12,
P000152,2,FAC002,Female-only,Female,White,PublicOrder,Maximum,2022-01-14,2024-03-15
P000153,2,FAC002,Female-only,Female,Hispanic,PublicOrder,Medium,2019-10-19,2020-12-10
P000154,2,FAC002,Female-only,Female,Hispanic,Property,Medium,2011-07-13,2017-08-02
P000155,2,FAC002,Female-only,Female,Black,Violent,Minimum,2019-05-08,2024-08-23
P000156,2,FAC002,Female-only,Female,Black,Property,Medium,2013-03-06,2017-04-22
P000157,2,FAC002,Female-only,Female,White,Violent,Medium,2024-09-05,2024-12-11
P000158,2,FAC002,Female-only,Female,Asian,Violent,Minimum,2010-05-26,2017-09-17
P000159,2,FAC002,Female-only,Female,White,Drug,Medium,2025-06-07,2025-07-14
P000160,2,FAC002,Female-only,Female,White,Property,Minimum,2017-05-10,2024-07-13
P000161,2,FAC002,Female-only,Female,White,Property,Medium,2015-10-20,
P000162,2,FAC002,Female-only,Female,Hispanic,Property,Maximum,2013-06-23,2022-11-07
P000163,2,FAC002,Female-only,Female,Other,Violent,Maximum,2024-05-07,2025-08-02
P000164,2,FAC002,Female-only,Female,White,Other,Maximum,2011-02-10,
P000165,2,FAC002,Female-only,Female,Black,Property,Medium,2011-03-27,
P000166,2,FAC002,Female-only,Female,Black,PublicOrder,Medium,2025-01-06,
P000167,2,FAC002,Female-only,Female,Other,Other,Maximum,2024-06-25,
P000168,2,FAC002,Female-only,Female,Black,Drug,Minimum,2014-11-02,2021-10-30
P000169,2,FAC002,Female-only,Female,Black,Drug,Minimum,2013-06-17,
P000170,2,FAC002,Female-only,Female,White,Violent,Medium,2017-02-21,2025-07-08
P000171,2,FAC002,Female-only,Female,Black,PublicOrder,Minimum,2018-07-02,
P000172,2,FAC002,Female-only,Female,White,Property,Medium,2013-02-09,2020-11-10
P000173,2,FAC002,Female-only,Female,Hispanic,PublicOrder,Minimum,2023-07-10,2024-11-16
P000174,2,FAC002,Female-only,Female,Black,Property,Minimum,2011-11-25,
P000175,2,FAC002,Female-only,Female,Black,Violent,Medium,2017-08-30,2020-01-18
P000176,2,FAC002,Female-only,Female,Asian,Property,Medium,2018-03-11,
P000177,2,FAC002,Female-only,Female,White,Drug,Medium,2022-05-09,2023-03-24
P000178,2,FAC002,Female-only,Female,White,PublicOrder,Maximum,2018-05-05,2018-09-25
P000179,2,FAC002,Female-only,Female,White,Violent,Medium,2016-10-27,2024-06-01
P000180,2,FAC002,Female-only,Female,White,Violent,Medium,2016-03-20,
P000181,2,FAC002,Female-only,Female,White,PublicOrder,Medium,2019-05-17,2020-03-27
P000182,2,FAC002,Female-only,Female,Black,PublicOrder,Minimum,2016-09-28,
P000183,2,FAC002,Female-only,Female,Black,Drug,Medium,2015-01-10,
P000184,2,FAC002,Female-only,Female,Black,Violent,Medium,2019-06-26,2021-06-09
P000185,2,FAC002,Female-only,Female,White,Drug,Minimum,2025-01-18,2025-02-18
P000186,2,FAC002,Female-only,Female,White,Violent,Medium,2023-12-02,2024-12-19
P000187,2,FAC002,Female-only,Female,White,PublicOrder,Medium,2014-11-21,
P000188,2,FAC002,Female-only,Female,White,Property,Medium,2013-08-09,
P000189,2,FAC002,Female-only,Female,Hispanic,Violent,Minimum,2019-09-27,2025-03-07
P000190,2,FAC002,Female-only,Female,Hispanic,Violent,Medium,2010-03-10,2010-07-15
P000191,2,FAC002,Female-only,Female,Black,Property,Minimum,2024-05-21,2024-08-14
P000192,2,FAC002,Female-only,Female,Black,Drug,Medium,2021-11-28,2022-09-11
P000193,2,FAC002,Female-only,Female,White,Violent,Maximum,2013-06-19,2018-12-02
P000194,2,FAC002,Female-only,Female,Black,Drug,Maximum,2014-10-30,
P000195,2,FAC002,Female-only,Female,Other,PublicOrder,Minimum,2014-02-15,2022-05-23
P000196,2,FAC002,Female-only,Female,White,PublicOrder,Medium,2010-07-27,
P000197,2,FAC002,Female-only,Female,Black,PublicOrder,Maximum,2019-12-27,
P000198,2,FAC002,Female-only,Female,White,Violent,Maximum,2023-04-26,
P000199,2,FAC002,Female-only,Female,Black,Property,Minimum,2025-02-04,2025-05-04
P000200,2,FAC002,Female-only,Female,White,Property,Minimum,2012-06-20,2017-08-09
P000201,2,FAC002,Female-only,Female,Hispanic,Violent,Maximum,2018-10-14,
P000202,2,FAC002,Female-only,Female,Black,Violent,Medium,2022-04-12,2023-05-14
P000203,2,FAC002,Female-only,Female,White,PublicOrder,Medium,2010-02-13,2014-05-23
P000204,2,FAC002,Female-only,Female,White,PublicOrder,Medium,2014-02-02,2020-01-07
P000205,2,FAC002,Female-only,Female,White,Violent,Minimum,2015-06-05,2016-01-31
P000206,2,FAC002,Female-only,Female,Black,Property,Medium,2019-06-26,
P000207,2,FAC002,Female-only,Female,Black,Violent,Maximum,2019-06-23,2025-06-24
P000208,2,FAC002,Female-only,Female,White,Drug,Medium,2011-12-26,
P000209,2,FAC002,Female-only,Female,Black,Drug,Maximum,2017-04-04,
P000210,2,FAC002,Female-only,Female,Black,Property,Maximum,2017-03-22,
P000211,2,FAC002,Female-only,Female,Hispanic,Violent,Medium,2019-10-13,2020-05-20
P000212,2,FAC002,Female-only,Female,Hispanic,Violent,Medium,2022-06-18,
P000213,2,FAC002,Female-only,Female,Black,Drug,Minimum,2021-10-31,2025-04-28
P000214,2,FAC002,Female-only,Female,Black,Property,Minimum,2016-10-07,
P000215,2,FAC002,Female-only,Female,White,Violent,Minimum,2024-07-24,2024-11-07
P000216,2,FAC002,Female-only,Female,Black,Drug,Minimum,2011-11-07,
P000217,2,FAC002,Female-only,Female,Native American,Violent,Minimum,2010-09-04,
P000218,2,FAC002,Female-only,Female,White,Violent,Minimum,2023-12-15,2024-01-30
P000219,2,FAC002,Female-only,Female,Black,Violent,Maximum,2022-06-17,2025-06-11
P000220,2,FAC002,Female-only,Female,Black,Violent,Medium,2015-11-24,2018-12-21
P000221,2,FAC002,Female-only,Female,White,PublicOrder,Maximum,2023-02-08,
P000222,2,FAC002,Female-only,Female,White,Other,Maximum,2011-01-11,
P000223,2,FAC002,Female-only,Female,Black,Property,Medium,2011-06-02,
P000224,2,FAC002,Female-only,Female,Hispanic,Violent,Maximum,2015-12-17,
P000225,2,FAC002,Female-only,Female,Hispanic,Violent,Minimum,2018-01-19,2023-06-12
P000226,2,FAC002,Female-only,Female,Black,PublicOrder,Medium,2021-02-06,
P000227,2,FAC002,Female-only,Female,Black,Drug,Minimum,2016-06-13,2017-04-14
P000228,2,FAC002,Female-only,Female,Black,Property,Minimum,2017-04-10,2017-08-18
P000229,2,FAC002,Female-only,Female,White,Violent,Minimum,2010-01-23,
P000230,2,FAC002,Female-only,Female,Black,Property,Medium,2025-04-20,
P000231,2,FAC002,Female-only,Female,Black,Property,Medium,2018-11-02,2021-07-15
P000232,2,FAC002,Female-only,Female,Black,Property,Medium,2025-03-28,2025-08-03
P000233,2,FAC002,Female-only,Female,Black,Violent,Maximum,2023-11-28,2025-02-27
P000234,2,FAC002,Female-only,Female,Black,Property,Medium,2012-08-14,2018-08-14
P000235,2,FAC002,Female-only,Female,Hispanic,PublicOrder,Medium,2015-06-02,
P000236,2,FAC002,Female-only,Female,White,Violent,Maximum,2024-11-11,2025-07-11
P000237,2,FAC002,Female-only,Female,White,Property,Minimum,2024-10-29,2025-04-05
P000238,2,FAC002,Female-only,Female,Black,Drug,Minimum,2023-06-24,2024-11-08
P000239,2,FAC002,Female-only,Female,White,Other,Minimum,2024-08-11,2025-03-09
P000240,2,FAC002,Female-only,Female,Black,Property,Minimum,2017-07-12,
P000241,2,FAC002,Female-only,Female,Hispanic,PublicOrder,Medium,2023-07-29,2025-06-13
P000242,2,FAC002,Female-only,Female,White,Violent,Medium,2011-05-11,
P000243,2,FAC002,Female-only,Female,White,Property,Maximum,2018-06-14,
P000244,2,FAC002,Female-only,Female,Black,Violent,Medium,2022-09-09,2023-10-20
