year,state_name,state_abbr,adm_type,m,f
1978,Alabama,AL,adm_total,2631,184
1978,Alabama,AL,adm_new_commit,2115,148
1978,Alabama,AL,adm_viol_new,0,0
1978,Alabama,AL,adm_viol_tech,150,5
1978,Alabama,AL,adm_oth,155,31
1979,Alabama,AL,adm_total,2596,223
1979,Alabama,AL,adm_new_commit,2314,178
1979,Alabama,AL,adm_viol_new,0,0
1979,Alabama,AL,adm_viol_tech,68,2
1979,Alabama,AL,adm_oth,214,43
1980,Alabama,AL,adm_total,3584,190
1980,Alabama,AL,adm_new_commit,3569,190
1980,Alabama,AL,adm_viol_new,0,0
1980,Alabama,AL,adm_viol_tech,1,0
1980,Alabama,AL,adm_oth,14,0
1981,Alabama,AL,adm_total,3773,252
1981,Alabama,AL,adm_new_commit,3755,251
1981,Alabama,AL,adm_viol_new,0,0
1981,Alabama,AL,adm_viol_tech,2,0
1981,Alabama,AL,adm_oth,16,1
1982,Alabama,AL,adm_total,4168,305
1982,Alabama,AL,adm_new_commit,3982,301
1982,Alabama,AL,adm_viol_new,77,2
1982,Alabama,AL,adm_viol_tech,0,0
1982,Alabama,AL,adm_oth,109,2
1983,Alabama,AL,adm_total,4336,326
1983,Alabama,AL,adm_new_commit,4103,316
1983,Alabama,AL,adm_viol_new,96,4
1983,Alabama,AL,adm_viol_tech,0,0
1983,Alabama,AL,adm_oth,137,6
1984,Alabama,AL,adm_total,4393,362
1984,Alabama,AL,adm_new_commit,4108,340
1984,Alabama,AL,adm_viol_new,71,3
1984,Alabama,AL,adm_viol_tech,0,0
1984,Alabama,AL,adm_oth,214,19
1985,Alabama,AL,adm_total,4050,357
1985,Alabama,AL,adm_new_commit,3795,338
1985,Alabama,AL,adm_viol_new,49,3
1985,Alabama,AL,adm_viol_tech,0,0
1985,Alabama,AL,adm_oth,206,16
1986,Alabama,AL,adm_total,3973,311
1986,Alabama,AL,adm_new_commit,3088,249
1986,Alabama,AL,adm_viol_new,49,5
1986,Alabama,AL,adm_viol_tech,396,19
1986,Alabama,AL,adm_oth,440,38
1987,Alabama,AL,adm_total,4499,344
1987,Alabama,AL,adm_new_commit,3547,277
1987,Alabama,AL,adm_viol_new,62,3
1987,Alabama,AL,adm_viol_tech,477,28
1987,Alabama,AL,adm_oth,413,36
1988,Alabama,AL,adm_total,4915,455
1988,Alabama,AL,adm_new_commit,3842,388
