"person_id","sex","race","start_year","end_year","start_date","end_date","supervision_type","end_reason","offense_category"
"10123465","Male","Black, non-Hispanic",2017,2020,2017-06-22,2020-11-13,"Probation","Revoked","Other"
"10123470","Male","Black, non-Hispanic",2015,NA,2015-12-04,NA,"Parole",NA,"Violent"
"10915996","Male","Black, non-Hispanic",2022,NA,2022-06-02,NA,"Probation",NA,"Violent"
"10915996","Male","Black, non-Hispanic",2017,NA,2017-06-28,NA,"Probation",NA,"Public order"
"10123489","Male","White, non-Hispanic",2020,2022,2020-10-23,2022-07-15,"Parole","Completed","Property"
"10123493","Male","White, non-Hispanic",2023,NA,2023-11-01,NA,"Probation",NA,"Property"
"10123495","Male","White, non-Hispanic",2019,2019,2019-07-29,2019-10-17,"Probation","Revoked","Drugs"
"10123516","Male","Hispanic, any race",2021,NA,2021-09-24,NA,"Probation",NA,"Other"
"10123529","Male","White, non-Hispanic",2017,2021,2017-11-02,2021-09-07,"Probation","Completed","Violent"
"10123532","Male","White, non-Hispanic",2003,NA,2003-11-14,NA,"Probation",NA,"Violent"
"10123534","Male","White, non-Hispanic",2019,2019,2019-05-15,2019-11-22,"Probation","Revoked","Other"
"10123541","Male","Black, non-Hispanic",2020,2023,2020-05-27,2023-04-28,"Probation","Completed","Drugs"
"10123552","Male","White, non-Hispanic",2021,NA,2021-04-04,NA,"Probation",NA,"Violent"
"10123567","Male","White, non-Hispanic",2021,2021,2021-05-05,2021-08-10,"Probation","Revoked","Violent"
"10123572","Male","Other, non-Hispanic",2016,2020,2016-12-08,2020-08-20,"Probation","Completed","Violent"
"10123575","Male","White, non-Hispanic",2001,2022,2001-03-07,2022-07-17,"Probation","Revoked","Violent"
"10123575","Male","White, non-Hispanic",2016,2021,2016-08-04,2021-08-18,"Probation","Revoked","Violent"
"10123577","Male","White, non-Hispanic",2023,NA,2023-05-27,NA,"Probation",NA,"Property"
"10123600","Male","Black, non-Hispanic",2022,NA,2022-12-30,NA,"Probation",NA,"Other"
"10123607","Female","White, non-Hispanic",2020,2023,2020-09-01,2023-08-19,"Probation","Revoked","Other"
"10123608","Male","White, non-Hispanic",2021,2022,2021-01-21,2022-04-13,"Probation","Revoked","Property"
"10123618","Male","Hispanic, any race",2019,2021,2019-03-14,2021-09-22,"Parole","Revoked","Violent"
"10123634","Male","Missing",2020,NA,2020-09-16,NA,"Parole",NA,"Other"
"10123663","Male","White, non-Hispanic",2018,2020,2018-05-29,2020-03-11,"Parole","Completed","Other"
"10123673","Male","White, non-Hispanic",2010,2020,2010-09-25,2020-08-16,"Probation","Completed","Property"
"10123674","Male","Missing",2018,2019,2018-04-04,2019-05-03,"Probation","Revoked","Drugs"
"10123696","Male","White, non-Hispanic",2017,2020,2017-06-21,2020-06-03,"Probation","Completed","Drugs"
"10123702","Male","Hispanic, any race",2012,2019,2012-02-24,2019-08-30,"Probation","Revoked","Violent"
"10123729","Male","Black, non-Hispanic",2006,NA,2006-03-08,NA,"Parole",NA,"Violent"
"10123736","Female","White, non-Hispanic",2021,2023,2021-09-14,2023-12-24,"Probation","Completed","Drugs"
"10123741","Male","Other, non-Hispanic",2020,2023,2020-05-25,2023-02-17,"Probation","Revoked","Other"
"10123758","Male","White, non-Hispanic",2020,2023,2020-10-14,2023-05-08,"Parole","Completed","Violent"
"10123759","Male","White, non-Hispanic",1987,NA,1987-10-25,NA,"Probation",NA,"Violent"
"10123760","Male","Other, non-Hispanic",2018,2022,2018-01-15,2022-04-23,"Parole","Completed","Violent"
"10123762","Female","Missing",2020,NA,2020-04-01,NA,"Probation",NA,"Drugs"
"10123768","Female","White, non-Hispanic",2018,2021,2018-06-01,2021-02-23,"Probation","Completed","Drugs"
"10123769","Female","White, non-Hispanic",2022,NA,2022-04-13,NA,"Parole",NA,"Other"
"10123779","Male","Black, non-Hispanic",2020,2020,2020-09-03,2020-12-27,"Probation","Completed","Violent"
"10123781","Male","White, non-Hispanic",2019,2019,2019-07-31,2019-12-06,"Parole","Revoked","Other"
"10123802","Female","Missing",2020,2022,2020-06-18,2022-05-19,"Probation","Revoked","Property"
"10123804","Male","White, non-Hispanic",2018,2020,2018-07-24,2020-08-22,"Probation","Other","Property"
"10123824","Female","Black, non-Hispanic",2019,2019,2019-05-19,2019-09-22,"Parole","Revoked","Drugs"
"10123835","Male","Hispanic, any race",2020,NA,2020-07-07,NA,"Parole",NA,"Violent"
"10123837","Male","Other, non-Hispanic",2020,NA,2020-04-06,NA,"Parole",NA,"Other"
"10123841","Male","White, non-Hispanic",2018,2020,2018-08-21,2020-07-25,"Probation","Revoked","Drugs"
"10123842","Female","Black, non-Hispanic",2021,2021,2021-06-27,2021-11-08,"Parole","Revoked","Violent"
"10123847","Male","White, non-Hispanic",2014,2019,2014-01-05,2019-11-08,"Probation","Revoked","Drugs"
"10123847","Male","White, non-Hispanic",2019,2020,2019-08-23,2020-11-02,"Probation","Completed","Violent"
"10123849","Male","White, non-Hispanic",2022,2022,2022-09-14,2022-12-11,"Probation","Completed","Drugs"
"10123860","Male","White, non-Hispanic",2019,2020,2019-01-25,2020-10-18,"Parole","Completed","Drugs"
"10123867","Male","Hispanic, any race",2017,NA,2017-05-20,NA,"Probation",NA,"Drugs"
