person_id,start_date,end_date,offense_category,sex,race,start_year,end_year,supervision_type,end_reason
10123457,2022-06-29,2023-06-06,Violent,Male,"White, non-Hispanic",2022,2023,Parole,Completed
10123460,2020-12-25,2022-03-12,Violent,Male,"White, non-Hispanic",2020,2022,Probation,Completed
10915996,2022-06-02,,Violent,Male,"Black, non-Hispanic",2022,,Probation,
10915996,2017-06-28,,Public order,Male,"Black, non-Hispanic",2017,,Probation,
10123482,2019-09-03,2021-03-15,Property,Male,"Black, non-Hispanic",2019,2021,Parole,Completed
10123491,2023-06-10,,Violent,Male,Missing,2023,,Parole,
10123515,2021-01-07,2021-03-30,Public order,Male,"Black, non-Hispanic",2021,2021,Probation,Revoked
10123590,2020-01-24,,Drugs,Male,"Black, non-Hispanic",2020,,Probation,
10123600,2010-09-01,2019-09-19,Violent,Male,"White, non-Hispanic",2010,2019,Probation,Other
10123600,2019-04-27,2020-02-04,Property,Male,"White, non-Hispanic",2019,2020,Probation,Completed
10123611,2018-03-11,2019-05-11,Violent,Male,"White, non-Hispanic",2018,2019,Parole,Revoked
10123611,2019-06-15,2020-07-29,Violent,Male,"White, non-Hispanic",2019,2020,Probation,Completed
10123614,2022-03-10,2022-12-18,Drugs,Male,"White, non-Hispanic",2022,2022,Parole,Completed
10123617,2020-04-23,2020-09-01,Public order,Female,"Black, non-Hispanic",2020,2020,Probation,Completed
10123622,2019-06-29,2020-05-26,Violent,Female,"Black, non-Hispanic",2019,2020,Parole,Completed
10123631,2020-05-14,,Drugs,Female,"Black, non-Hispanic",2020,,Probation,
10123631,2023-04-30,2023-06-17,Drugs,Female,"Black, non-Hispanic",2023,2023,Parole,Completed
10123636,2010-08-22,,Violent,Male,"Hispanic, any race",2010,,Probation,
10123643,2018-03-21,2021-07-13,Public order,Male,"Hispanic, any race",2018,2021,Parole,Other
10123664,2022-12-25,2023-10-18,Drugs,Male,"Black, non-Hispanic",2022,2023,Parole,Other
10123671,2021-09-19,2021-12-14,Public order,Male,"Black, non-Hispanic",2021,2021,Probation,Completed
10123717,2019-05-26,2020-07-12,Drugs,Male,"Other race(s), non-Hispanic",2019,2020,Probation,Completed
10123721,2021-11-14,2022-08-14,Property,Male,"White, non-Hispanic",2021,2022,Probation,Completed
10123725,2018-07-16,2019-01-12,Public order,Male,"Black, non-Hispanic",2018,2019,Probation,Completed
10123731,2019-04-19,2019-09-08,Drugs,Male,"White, non-Hispanic",2019,2019,Probation,Completed
10123762,2019-04-29,2020-04-01,Public order,Male,"White, non-Hispanic",2019,2020,Probation,Completed
10123762,2019-10-04,2019-12-14,Property,Male,"White, non-Hispanic",2019,2019,Probation,Completed
10123780,2018-08-13,2022-06-07,Violent,Male,"Hispanic, any race",2018,2022,Probation,Completed
10123785,2017-08-29,2019-11-10,Violent,Female,"Black, non-Hispanic",2017,2019,Probation,Completed
10123785,2021-01-29,2022-11-04,Violent,Female,"Black, non-Hispanic",2021,2022,Parole,Completed
10123815,2020-03-18,2021-06-17,Drugs,Male,Missing,2020,2021,Parole,Completed
10123819,2014-02-01,2022-12-02,Property,Male,"Black, non-Hispanic",2014,2022,Probation,Completed
10123824,2013-01-15,2020-04-22,Drugs,Male,"White, non-Hispanic",2013,2020,Probation,Completed
10123826,2021-11-04,2022-07-28,Property,Male,"White, non-Hispanic",2021,2022,Probation,Other
10123827,2020-01-25,2020-04-29,Drugs,Female,"Other race(s), non-Hispanic",2020,2020,Probation,Completed
10123839,2019-04-21,2019-08-14,Drugs,Female,"White, non-Hispanic",2019,2019,Probation,Revoked
10123846,2020-07-07,2020-11-04,Property,Male,"Black, non-Hispanic",2020,2020,Probation,Completed
10123853,2016-03-21,2022-08-15,Violent,Male,"Black, non-Hispanic",2016,2022,Parole,Completed
10123865,2021-01-31,2022-07-02,Property,Male,"White, non-Hispanic",2021,2022,Probation,Completed
10123872,2018-12-03,2019-12-25,Violent,Male,"Other race(s), non-Hispanic",2018,2019,Probation,Other
10123872,2021-03-09,2021-05-07,Drugs,Male,"Other race(s), non-Hispanic",2021,2021,Parole,Revoked
10123893,2018-05-23,2021-12-08,Violent,Male,"White, non-Hispanic",2018,2021,Probation,Completed
10123917,2022-10-12,,Property,Male,"Black, non-Hispanic",2022,,Probation,
10123930,2020-06-21,2021-05-14,Drugs,Male,"White, non-Hispanic",2020,2021,Probation,Completed
10123935,2018-08-15,2019-11-11,Property,Male,"White, non-Hispanic",2018,2019,Probation,Completed
10123935,2023-01-25,,Missing,Male,"White, non-Hispanic",2023,,Parole,
10123935,2023-12-26,2023-12-30,Public order,Male,"White, non-Hispanic",2023,2023,Probation,Completed
10123952,2018-04-29,,Public order,Male,"White, non-Hispanic",2018,,Probation,
10123959,2017-01-22,,Drugs,Male,"White, non-Hispanic",2017,,Probation,
10123982,2017-01-10,,Drugs,Male,"Hispanic, any race",2017,,Probation,
10123983,2020-07-11,2021-08-05,Property,Male,"White, non-Hispanic",2020,2021,Probation,Completed
10124001,2017-07-06,2019-11-22,Drugs,Male,"White, non-Hispanic",2017,2019,Probation,Completed
10124001,2020-12-25,2020-12-26,Drugs,Male,"White, non-Hispanic",2020,2020,Probation,Completed
10124005,2023-03-12,,Drugs,Male,"White, non-Hispanic",2023,,Probation,
10124010,2018-04-24,2019-01-18,Property,Male,"Black, non-Hispanic",2018,2019,Probation,Completed
10124014,2003-08-05,,Violent,Male,"Other race(s), non-Hispanic",2003,,Parole,
10124015,2020-04-25,2021-07-13,Drugs,Male,"White, non-Hispanic",2020,2021,Probation,Completed
10124016,2004-07-23,,Public order,Male,"Hispanic, any race",2004,,Probation,
10124019,2020-01-24,2021-10-09,Public order,Male,"White, non-Hispanic",2020,2021,Probation,Completed
10124020,2019-11-09,2022-12-19,Drugs,Female,"White, non-Hispanic",2019,2022,Parole,Revoked
10124026,2017-11-27,2019-11-05,Drugs,Male,Missing,2017,2019,Parole,Revoked
10124036,2023-10-12,,Violent,Male,Missing,2023,,Probation,
10124055,2022-01-25,2022-03-09,Property,Male,"White, non-Hispanic",2022,2022,Probation,Completed
10124060,2019-12-19,2019-12-29,Drugs,Male,"White, non-Hispanic",2019,2019,Parole,Completed
10124071,2018-05-08,2019-08-05,Drugs,Male,"White, non-Hispanic",2018,2019,Parole,Completed
