"state","metric","year","total"
"Alabama","Total Admissions","2018",14054
"Alabama","Supervision Violation Admissions","2018",6080
"Alabama","Probation Violation Admissions","2018",3752
"Alabama","Probation New Offense Violation Admissions","2018",2069
"Alabama","Probation Technical Violation Admissions","2018",1683
"Alabama","Parole Violation Admissions","2018",2328
"Alabama","Parole New Offense Violation Admissions","2018",1231
"Alabama","Parole Technical Violation Admissions","2018",1097
"Alabama","Total Population","2018",27191
"Alabama","Supervision Violation Population","2018",206
"Alabama","Probation Violation Population","2018",106
"Alabama","Probation New Offense Violation Population","2018",NA
"Alabama","Probation Technical Violation Population","2018",106
"Alabama","Parole Violation Population","2018",100
"Alabama","Parole New Offense Violation Population","2018",NA
"Alabama","Parole Technical Violation Population","2018",100
"Alabama","Total Admissions","2019",14148
"Alabama","Supervision Violation Admissions","2019",6360
"Alabama","Probation Violation Admissions","2019",3968
"Alabama","Probation New Offense Violation Admissions","2019",2372
"Alabama","Probation Technical Violation Admissions","2019",1596
"Alabama","Parole Violation Admissions","2019",2392
"Alabama","Parole New Offense Violation Admissions","2019",1266
"Alabama","Parole Technical Violation Admissions","2019",1126
"Alabama","Total Population","2019",28266
"Alabama","Supervision Violation Population","2019",214
"Alabama","Probation Violation Population","2019",167
"Alabama","Probation New Offense Violation Population","2019",NA
"Alabama","Probation Technical Violation Population","2019",167
"Alabama","Parole Violation Population","2019",47
"Alabama","Parole New Offense Violation Population","2019",NA
"Alabama","Parole Technical Violation Population","2019",47
"Alabama","Total Admissions","2020",10080
"Alabama","Supervision Violation Admissions","2020",4761
"Alabama","Probation Violation Admissions","2020",3144
"Alabama","Probation New Offense Violation Admissions","2020",1306
"Alabama","Probation Technical Violation Admissions","2020",1838
"Alabama","Parole Violation Admissions","2020",1617
"Alabama","Parole New Offense Violation Admissions","2020",1375
"Alabama","Parole Technical Violation Admissions","2020",242
"Alabama","Total Population","2020",25344
"Alabama","Supervision Violation Population","2020",2
"Alabama","Probation Violation Population","2020",1
"Alabama","Probation New Offense Violation Population","2020",NA
"Alabama","Probation Technical Violation Population","2020",1
"Alabama","Parole Violation Population","2020",1
"Alabama","Parole New Offense Violation Population","2020",NA
"Alabama","Parole Technical Violation Population","2020",1
"Alabama","Total Admissions","2021",9663
"Alabama","Supervision Violation Admissions","2021",4401
"Alabama","Probation Violation Admissions","2021",2849
"Alabama","Probation New Offense Violation Admissions","2021",1073
"Alabama","Probation Technical Violation Admissions","2021",1776
"Alabama","Parole Violation Admissions","2021",1552
"Alabama","Parole New Offense Violation Admissions","2021",1295
"Alabama","Parole Technical Violation Admissions","2021",257
"Alabama","Total Population","2021",25195
"Alabama","Supervision Violation Population","2021",4
"Alabama","Probation Violation Population","2021",3
"Alabama","Probation New Offense Violation Population","2021",NA
"Alabama","Probation Technical Violation Population","2021",3
"Alabama","Parole Violation Population","2021",1
"Alabama","Parole New Offense Violation Population","2021",NA
"Alabama","Parole Technical Violation Population","2021",1
"Alaska","Total Admissions","2018",32627
"Alaska","Supervision Violation Admissions","2018",4502
"Alaska","Probation Violation Admissions","2018",3819
"Alaska","Probation New Offense Violation Admissions","2018",1789
"Alaska","Probation Technical Violation Admissions","2018",2030
"Alaska","Parole Violation Admissions","2018",683
"Alaska","Parole New Offense Violation Admissions","2018",265
"Alaska","Parole Technical Violation Admissions","2018",418
"Alaska","Total Population","2018",4408
"Alaska","Supervision Violation Population","2018",1543
"Alaska","Probation Violation Population","2018",1273
"Alaska","Probation New Offense Violation Population","2018",700
"Alaska","Probation Technical Violation Population","2018",573
"Alaska","Parole Violation Population","2018",270
"Alaska","Parole New Offense Violation Population","2018",148
"Alaska","Parole Technical Violation Population","2018",122
"Alaska","Total Admissions","2019",34734
"Alaska","Supervision Violation Admissions","2019",3891
"Alaska","Probation Violation Admissions","2019",3323
"Alaska","Probation New Offense Violation Admissions","2019",1583
"Alaska","Probation Technical Violation Admissions","2019",1740
"Alaska","Parole Violation Admissions","2019",568
"Alaska","Parole New Offense Violation Admissions","2019",258
"Alaska","Parole Technical Violation Admissions","2019",310
"Alaska","Total Population","2019",4599
"Alaska","Supervision Violation Population","2019",1646
"Alaska","Probation Violation Population","2019",1366
"Alaska","Probation New Offense Violation Population","2019",861
"Alaska","Probation Technical Violation Population","2019",505
"Alaska","Parole Violation Population","2019",280
"Alaska","Parole New Offense Violation Population","2019",175
"Alaska","Parole Technical Violation Population","2019",105
"Alaska","Total Admissions","2020",27590
"Alaska","Supervision Violation Admissions","2020",2780
"Alaska","Probation Violation Admissions","2020",2374
"Alaska","Probation New Offense Violation Admissions","2020",1131
"Alaska","Probation Technical Violation Admissions","2020",1243
"Alaska","Parole Violation Admissions","2020",406
"Alaska","Parole New Offense Violation Admissions","2020",184
"Alaska","Parole Technical Violation Admissions","2020",221
"Alaska","Total Population","2020",4618
"Alaska","Supervision Violation Population","2020",1532
"Alaska","Probation Violation Population","2020",1280
"Alaska","Probation New Offense Violation Population","2020",807
"Alaska","Probation Technical Violation Population","2020",473
"Alaska","Parole Violation Population","2020",252
"Alaska","Parole New Offense Violation Population","2020",159
"Alaska","Parole Technical Violation Population","2020",94
"Alaska","Total Admissions","2021",NA
"Alaska","Supervision Violation Admissions","2021",NA
"Alaska","Probation Violation Admissions","2021",NA
"Alaska","Probation New Offense Violation Admissions","2021",NA
"Alaska","Probation Technical Violation Admissions","2021",NA
"Alaska","Parole Violation Admissions","2021",NA
"Alaska","Parole New Offense Violation Admissions","2021",NA
"Alaska","Parole Technical Violation Admissions","2021",NA
"Alaska","Total Population","2021",4639
"Alaska","Supervision Violation Population","2021",NA
"Alaska","Probation Violation Population","2021",NA
"Alaska","Probation New Offense Violation Population","2021",NA
"Alaska","Probation Technical Violation Population","2021",NA
"Alaska","Parole Violation Population","2021",NA
"Alaska","Parole New Offense Violation Population","2021",NA
"Alaska","Parole Technical Violation Population","2021",NA
"Arizona","Total Admissions","2018",18361
"Arizona","Supervision Violation Admissions","2018",8277
"Arizona","Probation Violation Admissions","2018",4965
"Arizona","Probation New Offense Violation Admissions","2018",1720
"Arizona","Probation Technical Violation Admissions","2018",3245
"Arizona","Parole Violation Admissions","2018",3312
"Arizona","Parole New Offense Violation Admissions","2018",152
"Arizona","Parole Technical Violation Admissions","2018",3160
"Arizona","Total Population","2018",41937
"Arizona","Supervision Violation Population","2018",10080
"Arizona","Probation Violation Population","2018",8339
"Arizona","Probation New Offense Violation Population","2018",5335
"Arizona","Probation Technical Violation Population","2018",3004
"Arizona","Parole Violation Population","2018",1741
"Arizona","Parole New Offense Violation Population","2018",566
"Arizona","Parole Technical Violation Population","2018",1175
"Arizona","Total Admissions","2019",18159
"Arizona","Supervision Violation Admissions","2019",7752
"Arizona","Probation Violation Admissions","2019",4566
"Arizona","Probation New Offense Violation Admissions","2019",1715
"Arizona","Probation Technical Violation Admissions","2019",2851
"Arizona","Parole Violation Admissions","2019",3186
"Arizona","Parole New Offense Violation Admissions","2019",180
"Arizona","Parole Technical Violation Admissions","2019",3006
"Arizona","Total Population","2019",42441
"Arizona","Supervision Violation Population","2019",10072
"Arizona","Probation Violation Population","2019",8265
"Arizona","Probation New Offense Violation Population","2019",5329
"Arizona","Probation Technical Violation Population","2019",2936
"Arizona","Parole Violation Population","2019",1807
"Arizona","Parole New Offense Violation Population","2019",545
"Arizona","Parole Technical Violation Population","2019",1262
"Arizona","Total Admissions","2020",15480
"Arizona","Supervision Violation Admissions","2020",6226
"Arizona","Probation Violation Admissions","2020",3676
"Arizona","Probation New Offense Violation Admissions","2020",1595
"Arizona","Probation Technical Violation Admissions","2020",2081
"Arizona","Parole Violation Admissions","2020",2550
"Arizona","Parole New Offense Violation Admissions","2020",144
"Arizona","Parole Technical Violation Admissions","2020",2406
"Arizona","Total Population","2020",37731
"Arizona","Supervision Violation Population","2020",8838
"Arizona","Probation Violation Population","2020",7897
"Arizona","Probation New Offense Violation Population","2020",5861
"Arizona","Probation Technical Violation Population","2020",2036
"Arizona","Parole Violation Population","2020",941
"Arizona","Parole New Offense Violation Population","2020",499
"Arizona","Parole Technical Violation Population","2020",442
"Arizona","Total Admissions","2021",11518
"Arizona","Supervision Violation Admissions","2021",4680
"Arizona","Probation Violation Admissions","2021",2854
"Arizona","Probation New Offense Violation Admissions","2021",1386
"Arizona","Probation Technical Violation Admissions","2021",1468
"Arizona","Parole Violation Admissions","2021",1826
"Arizona","Parole New Offense Violation Admissions","2021",67
"Arizona","Parole Technical Violation Admissions","2021",1759
"Arizona","Total Population","2021",33855
"Arizona","Supervision Violation Population","2021",7932
"Arizona","Probation Violation Population","2021",7115
"Arizona","Probation New Offense Violation Population","2021",5352
"Arizona","Probation Technical Violation Population","2021",1763
"Arizona","Parole Violation Population","2021",817
"Arizona","Parole New Offense Violation Population","2021",362
"Arizona","Parole Technical Violation Population","2021",455
"Arkansas","Total Admissions","2018",9204
"Arkansas","Supervision Violation Admissions","2018",4989
"Arkansas","Probation Violation Admissions","2018",703
"Arkansas","Probation New Offense Violation Admissions","2018",550
"Arkansas","Probation Technical Violation Admissions","2018",153
"Arkansas","Parole Violation Admissions","2018",4286
"Arkansas","Parole New Offense Violation Admissions","2018",2542
"Arkansas","Parole Technical Violation Admissions","2018",1744
"Arkansas","Total Population","2018",15646
"Arkansas","Supervision Violation Population","2018",8177
"Arkansas","Probation Violation Population","2018",2626
"Arkansas","Probation New Offense Violation Population","2018",2060
"Arkansas","Probation Technical Violation Population","2018",566
"Arkansas","Parole Violation Population","2018",5551
"Arkansas","Parole New Offense Violation Population","2018",4106
"Arkansas","Parole Technical Violation Population","2018",1445
"Arkansas","Total Admissions","2019",9289
"Arkansas","Supervision Violation Admissions","2019",4980
"Arkansas","Probation Violation Admissions","2019",824
"Arkansas","Probation New Offense Violation Admissions","2019",655
"Arkansas","Probation Technical Violation Admissions","2019",169
"Arkansas","Parole Violation Admissions","2019",4156
"Arkansas","Parole New Offense Violation Admissions","2019",2212
"Arkansas","Parole Technical Violation Admissions","2019",1944
"Arkansas","Total Population","2019",15680
"Arkansas","Supervision Violation Population","2019",7413
"Arkansas","Probation Violation Population","2019",2672
"Arkansas","Probation New Offense Violation Population","2019",2159
"Arkansas","Probation Technical Violation Population","2019",513
"Arkansas","Parole Violation Population","2019",4741
"Arkansas","Parole New Offense Violation Population","2019",3944
"Arkansas","Parole Technical Violation Population","2019",797
"Arkansas","Total Admissions","2020",7770
"Arkansas","Supervision Violation Admissions","2020",5126
"Arkansas","Probation Violation Admissions","2020",671
"Arkansas","Probation New Offense Violation Admissions","2020",531
"Arkansas","Probation Technical Violation Admissions","2020",140
"Arkansas","Parole Violation Admissions","2020",4455
"Arkansas","Parole New Offense Violation Admissions","2020",1255
"Arkansas","Parole Technical Violation Admissions","2020",3200
"Arkansas","Total Population","2020",13840
"Arkansas","Supervision Violation Population","2020",6242
"Arkansas","Probation Violation Population","2020",2252
"Arkansas","Probation New Offense Violation Population","2020",1884
"Arkansas","Probation Technical Violation Population","2020",368
"Arkansas","Parole Violation Population","2020",3990
"Arkansas","Parole New Offense Violation Population","2020",3081
"Arkansas","Parole Technical Violation Population","2020",909
"Arkansas","Total Admissions","2021",8123
"Arkansas","Supervision Violation Admissions","2021",5020
"Arkansas","Probation Violation Admissions","2021",785
"Arkansas","Probation New Offense Violation Admissions","2021",625
"Arkansas","Probation Technical Violation Admissions","2021",160
"Arkansas","Parole Violation Admissions","2021",4235
"Arkansas","Parole New Offense Violation Admissions","2021",2173
"Arkansas","Parole Technical Violation Admissions","2021",2062
"Arkansas","Total Population","2021",14450
"Arkansas","Supervision Violation Population","2021",6785
"Arkansas","Probation Violation Population","2021",2408
"Arkansas","Probation New Offense Violation Population","2021",2055
"Arkansas","Probation Technical Violation Population","2021",353
"Arkansas","Parole Violation Population","2021",4377
"Arkansas","Parole New Offense Violation Population","2021",3542
"Arkansas","Parole Technical Violation Population","2021",835
"California","Total Admissions","2018",35391
"California","Supervision Violation Admissions","2018",12296
"California","Probation Violation Admissions","2018",7938
"California","Probation New Offense Violation Admissions","2018",3511
"California","Probation Technical Violation Admissions","2018",4427
"California","Parole Violation Admissions","2018",4358
"California","Parole New Offense Violation Admissions","2018",4333
"California","Parole Technical Violation Admissions","2018",25
"California","Total Population","2018",129075
"California","Supervision Violation Population","2018",31651
"California","Probation Violation Population","2018",10308
"California","Probation New Offense Violation Population","2018",6901
"California","Probation Technical Violation Population","2018",3407
"California","Parole Violation Population","2018",21343
"California","Parole New Offense Violation Population","2018",21278
"California","Parole Technical Violation Population","2018",65
"California","Total Admissions","2019",34517
"California","Supervision Violation Admissions","2019",12171
"California","Probation Violation Admissions","2019",7693
"California","Probation New Offense Violation Admissions","2019",3261
"California","Probation Technical Violation Admissions","2019",4432
"California","Parole Violation Admissions","2019",4478
